hhcode,weight,food_total,nonfood_total,selfemp_income,total_income,treatment,loan_amount
430711,1,255,10470,0,10725,1,45000
430811,1,295,2232,0,2527,1,3000
430812,1,292,3920,0,4212,1,35000
430813,1,125,1520,0,1645,0,0
430911,1,397,30150,0,30547,1,6000
431011,1,356,18150,0,18506,1,135000
431111,1,263,5700,0,5963,1,15000
431211,1,178,2845,0,3023,1,7500
440119,1,436,5995,0,6431,1,29000
440149,1,321,2897,0,3218,0,0
440159,1,307,4560,0,4867,0,0
440219,1,475,64304,0,64779,1,25000
440249,1,282,2220,0,2502,0,0
440259,1,519,7973,0,8492,0,0
440319,1,777,105430,0,106207,1,32000
440349,1,313,3705,0,4018,0,0
440359,1,344,1555,0,1899,0,0
440419,1,410,4410,0,4820,1,29000
440449,1,212,1757,0,1969,0,0
440459,1,443,6220,0,6663,0,0
440519,1,413.5,8620,0,9033.5,1,28000
440549,1,240,3400,100,3740,0,0
440559,1,362,3587,0,3949,0,0
440619,1,397,5940,0,6337,1,26000
440719,1,403,8967,200,9570,1,24000
440819,1,482,6438,0,6920,1,22000
440919,1,264,2855,0,3119,1,21000
441019,1,459,6180,0,6639,1,34000
510111,1,825,32165,0,32990,1,40000
510141,1,247,2080,0,2327,0,0
510151,1,1188,31830,0,33018,0,0
510152,1,682,6152,0,6834,0,0
510211,1,643,11685,0,12328,1,51000
510241,1,522,5862,0,6384,0,0
510251,1,1638,34145,0,35783,0,0
510311,1,413,8160,0,8573,1,30000
510341,1,757,11150,0,11907,0,0
510351,1,657,4070,0,4727,0,0
510411,1,813,5875,0,6688,1,96000
510441,1,589.75,4790,0,5379.75,0,8000
510442,1,408,5870,0,6278,0,0
510459,1,808,11225,100,12133,1,33000
510511,1,569,12600,0,13169,1,12000
510541,1,322,9955,0,10277,1,44000
510611,1,562,4260,0,4822,1,0
510711,1,552,3268,0,3820,1,25000
510712,1,471,5505,100,6076,0,5000
510811,1,958,24030,0,24988,1,6000
510911,1,590,4780,125,5495,1,7500
511011,1,873,6920,195,7988,1,75000
511111,1,399,4240,0,4639,1,59000
511211,1,453,3720,180,4353,1,84000
520111,1,569.5,12100,0,12669.5,1,64000
520141,1,628,11840,0,12468,1,20000
520151,1,1719,63020,0,64739,0,0
520211,1,804,13615,0,14419,1,2000
520241,1,436,6210,120,6766,1,22000
520251,1,395,4900,0,5295,1,22000
520311,1,695,4807,0,5502,1,9000
520341,1,933.5,25328,230,26491.5,0,0
520351,1,1637,30175,400,32212,0,0
520411,1,917,14490,0,15407,1,19000
520441,1,880,31370,0,32250,1,25000
520459,1,1141,57230,0,58371,0,0
520541,1,543,13400,0,13943,1,12000
520611,1,426,10200,0,10626,1,0
520711,1,1938,234100,0,236038,1,0
520811,1,1171,68230,0,69401,1,0
520911,1,728.5,24243,0,24971.5,1,57000
521011,1,986,12865,0,13851,1,9000
521111,1,517.699996948242,11275,0,11792.699996948242,1,10000
521211,1,926,18960,0,19886,1,0
530111,1,500,3150,0,3650,1,0
530141,1,1090,26010,0,27100,1,10000
530151,1,654,17210,0,17864,0,0
530152,1,600,5570,0,6170,0,0
530153,1,627,8090,0,8717,0,0
530211,1,637,6820,0,7457,1,0
530241,1,555,9790,0,10345,0,0
530251,1,1487,22620,0,24107,1,0
530341,1,512,7720,120,8352,1,84000
530351,1,644.5,113560,0,114204.5,0,0
530411,1,339,5730,0,6069,1,0
530441,1,580,7666,0,8246,1,73000
530459,1,417,6502,0,6919,1,20000
530511,1,483,3930,120,4533,1,30000
