"hhcode","casenum","date","weight_","day","month","year","thanaid","thanade","villid","villde","hhid","partcptn","hhtype","hhserial","relign","relhh","distance","lat_type","electric","samity","member","d_hat","d_bcentr","d_bank"
120541,45,"7/16/99",1,20,4,99,1,"DHAMRAI",2,"",5,4,1,18,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
120611,34,"7/16/99",1,17,4,99,1,"DHAMRAI",2,"",6,1,1,9,1,1,2,1,2,2,1.79769313486232e+308,2,5,2
120711,35,"7/16/99",1,6,5,99,1,"DHAMRAI",2,"",7,1,1,8,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
120811,36,"7/16/99",1,14,4,99,1,"DHAMRAI",2,"",8,1,1,9,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
120911,37,"7/16/99",1,25,5,99,1,"DHAMRAI",2,"",9,1,1,10,1,6,2,2,2,2,1.79769313486232e+308,2,5,2
121011,38,"7/16/99",1,19,4,99,1,"DHAMRAI",2,"",10,1,1,11,1,1,2,3,2,2,1.79769313486232e+308,2,5,2
121111,39,"7/16/99",1,22,4,99,1,"DHAMRAI",2,"",11,1,1,12,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
121211,40,"7/16/99",1,18,4,99,1,"DHAMRAI",2,"",12,1,1,13,1,1,2,2,2,2,1.79769313486232e+308,2,5,1
130141,12,"7/22/99",1,9,6,99,1,"DHAMRAI",3,"",1,4,1,12,1,2,5,2,2,2,1.79769313486232e+308,3,8,5
130151,17,"7/22/99",1,5,6,99,1,"DHAMRAI",3,"",1,5,1,17,1,1,5,2,2,1,2,2,8,5
130211,1,"7/22/99",1,31,5,99,1,"DHAMRAI",3,"",2,1,1,1,1,1,7,2,2,2,1.79769313486232e+308,2,9,7
130241,13,"7/22/99",1,13,6,99,1,"DHAMRAI",3,"",2,4,1,13,1,1,5,3,2,1,1,2,8,5
130251,18,"7/22/99",1,15,6,99,1,"DHAMRAI",3,"",2,5,1,18,1,1,5,2,2,1,2,2,7,5
130311,2,"7/22/99",1,1,6,99,1,"DHAMRAI",3,"",3,1,1,2,1,3,7,3,2,2,1.79769313486232e+308,2,9,7
130351,19,"7/22/99",1,20,6,99,1,"DHAMRAI",3,"",3,5,1,19,1,1,5,2,2,1,2,3,7,5
130352,20,"7/22/99",1,21,6,99,1,"DHAMRAI",3,"",3,5,2,20,1,1,5,2,2,1,2,3,8,5
130353,21,"7/22/99",1,22,6,99,1,"DHAMRAI",3,"",3,5,3,21,1,2,5,2,2,1,2,3,8,5
130354,22,"7/22/99",1,23,6,99,1,"DHAMRAI",3,"",3,5,4,22,1,1,5,2,2,1,2,3,8,5
130355,23,"7/22/99",1,24,6,99,1,"DHAMRAI",3,"",3,5,5,23,1,1,5,2,2,1,2,3,8,5
130411,3,"7/22/99",1,7,6,99,1,"DHAMRAI",3,"",4,1,1,3,1,1,5,2,2,1,2,2,8,5
130441,14,"7/22/99",1,16,6,99,1,"DHAMRAI",3,"",4,4,1,14,1,1,5,2,2,1,2,2,8,5
130459,24,"7/22/99",1,26,6,99,1,"DHAMRAI",3,"",4,5,9,24,1,1,5,2,2,1,2,2,8,5
130541,15,"7/22/99",1,17,6,99,1,"DHAMRAI",3,"",5,4,1,15,1,2,5,2,2,1,2,3,8,5
130542,16,"7/22/99",1,18,6,99,1,"DHAMRAI",3,"",5,4,2,16,1,2,5,2,2,1,2,3,8,5
130611,4,"7/22/99",1,2,6,99,1,"DHAMRAI",3,"",6,1,1,4,1,2,5,2,2,2,1.79769313486232e+308,2,9,0.5
130711,5,"7/22/99",1,3,6,99,1,"DHAMRAI",3,"",7,1,1,5,1,1,6,2,2,1,2,2,9,6
130712,6,"7/22/99",1,6,6,99,1,"DHAMRAI",3,"",7,1,2,6,1,2,5,2,2,2,1.79769313486232e+308,2,8,5
