"casenum","date","weight_","hhcode","pid","htrid","htrde","s12_2q2","s12_2q3","s12_2q4","s12_2q5","s12_2q6","s12_2q7"
37,"6/19/99",1,210331,1,11,"Purchased since 1992",5500,0,0,0,0,0
38,"6/19/99",1,210331,1,2,"Inherited",500,0,0,0,0,0
39,"6/19/99",1,210332,1,11,"Purchased since 1992",4200,0,600,0,0,0
57,"6/19/99",1,210341,1,11,"Purchased since 1992",4500,0,0,0,0,0
64,"6/19/99",1,210351,1,1,"Purchased before 1992",300,0,0,0,0,0
65,"6/19/99",1,210351,1,11,"Purchased since 1992",14000,0,0,0,0,0
40,"6/19/99",1,210411,1,11,"Purchased since 1992",1000,0,0,0,0,0
42,"6/19/99",1,210411,1,4,"Obtained as dowry",0,0,700,0,0,0
41,"6/19/99",1,210411,1,2,"Inherited",500,0,0,0,0,0
58,"6/19/99",1,210441,1,11,"Purchased since 1992",1200,0,0,2000,0,0
67,"6/19/99",1,210459,1,11,"Purchased since 1992",4000,0,0,0,0,0
66,"6/19/99",1,210459,1,1,"Purchased before 1992",6000,0,0,0,0,0
44,"6/19/99",1,210511,1,2,"Inherited",5000,0,0,0,0,0
43,"6/19/99",1,210511,1,11,"Purchased since 1992",15000,0,0,0,0,0
59,"6/19/99",1,210541,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
45,"6/19/99",1,210611,1,11,"Purchased since 1992",500,0,0,0,0,0
46,"6/19/99",1,210731,1,1,"Purchased before 1992",0,0,0,2500,0,0
47,"6/19/99",1,210731,1,11,"Purchased since 1992",9500,2500,0,0,0,0
48,"6/19/99",1,210731,1,2,"Inherited",500,0,0,0,0,0
49,"6/19/99",1,210811,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
50,"6/19/99",1,210931,1,11,"Purchased since 1992",7000,0,0,1500,0,0
51,"6/19/99",1,211031,1,11,"Purchased since 1992",26000,0,0,0,0,0
52,"6/19/99",1,211031,1,2,"Inherited",1000,0,0,0,0,0
53,"6/19/99",1,211131,1,11,"Purchased since 1992",5000,5000,0,0,0,0
54,"6/19/99",1,211231,1,11,"Purchased since 1992",350,0,0,0,0,0
31,"8/01/99",1,220111,1,1,"Purchased before 1992",200,0,0,0,0,0
32,"8/04/99",1,220111,1,11,"Purchased since 1992",1000,0,0,0,0,0
47,"8/04/99",1,220141,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
53,"8/04/99",1,220151,1,11,"Purchased since 1992",5000,0,0,0,0,0
52,"8/04/99",1,220151,1,1,"Purchased before 1992",10000,0,700,0,0,0
34,"8/04/99",1,220211,1,11,"Purchased since 1992",1500,0,0,0,0,0
33,"8/04/99",1,220211,1,1,"Purchased before 1992",500,0,0,0,0,0
48,"8/04/99",1,220241,1,11,"Purchased since 1992",400,0,0,0,0,0
55,"8/04/99",1,220251,1,11,"Purchased since 1992",20000,0,0,0,0,0
54,"8/04/99",1,220251,1,1,"Purchased before 1992",10000,0,0,0,0,0
35,"8/04/99",1,220311,1,11,"Purchased since 1992",150,0,0,0,0,0
49,"8/04/99",1,220341,1,11,"Purchased since 1992",3500,0,400,0,0,0
57,"8/04/99",1,220351,1,11,"Purchased since 1992",10000,0,1000,0,0,0
56,"8/04/99",1,220351,1,1,"Purchased before 1992",45000,0,0,0,0,0
36,"8/04/99",1,220411,2,11,"Purchased since 1992",500,0,0,0,0,0
37,"8/04/99",1,220412,1,11,"Purchased since 1992",400,0,0,0,0,0
50,"8/04/99",1,220441,1,11,"Purchased since 1992",500,0,0,0,0,0
58,"8/04/99",1,220459,1,1,"Purchased before 1992",6000,0,0,0,0,0
59,"8/04/99",1,220459,1,11,"Purchased since 1992",10000,0,800,0,0,0
38,"8/04/99",1,220511,1,11,"Purchased since 1992",200,0,0,0,0,0
51,"8/04/99",1,220541,1,11,"Purchased since 1992",300,0,0,0,0,0
40,"8/04/99",1,220611,1,11,"Purchased since 1992",15000,0,0,0,0,0
39,"8/04/99",1,220611,1,1,"Purchased before 1992",2000,0,0,0,0,0
41,"8/04/99",1,220711,2,11,"Purchased since 1992",300,0,0,0,0,0
42,"8/04/99",1,220911,1,11,"Purchased since 1992",200,0,0,0,0,0
43,"8/04/99",1,221011,1,11,"Purchased since 1992",5000,0,0,0,0,0
44,"8/04/99",1,221111,5,11,"Purchased since 1992",100,0,0,0,0,0
45,"8/04/99",1,221112,1,11,"Purchased since 1992",100,0,0,0,0,0
46,"8/04/99",1,221211,2,11,"Purchased since 1992",200,0,0,0,0,0
187,"6/20/99",1,230111,2,11,"Purchased since 1992",200,0,0,0,0,0
204,"6/20/99",1,230141,1,11,"Purchased since 1992",3000,0,0,0,0,0
210,"6/20/99",1,230151,2,11,"Purchased since 1992",9000,0,0,0,0,0
209,"6/20/99",1,230151,2,1,"Purchased before 1992",500,0,0,0,0,0
212,"6/20/99",1,230152,1,11,"Purchased since 1992",500,0,800,0,0,0
211,"6/20/99",1,230152,1,1,"Purchased before 1992",300,0,0,0,0,0
188,"6/20/99",1,230211,1,11,"Purchased since 1992",800,0,0,0,0,0
205,"6/20/99",1,230241,1,11,"Purchased since 1992",1500,0,0,0,0,0
213,"6/20/99",1,230251,1,1,"Purchased before 1992",20000,0,1800,0,0,0
214,"6/20/99",1,230251,1,11,"Purchased since 1992",60000,0,0,0,0,0
189,"6/20/99",1,230311,1,11,"Purchased since 1992",300,0,0,0,0,0
215,"6/20/99",1,230351,2,11,"Purchased since 1992",1400,0,0,0,0,0
216,"6/20/99",1,230352,1,11,"Purchased since 1992",1000,0,0,0,0,0
191,"6/20/99",1,230411,1,11,"Purchased since 1992",1200,0,0,0,0,0
190,"6/20/99",1,230411,1,1,"Purchased before 1992",800,0,0,0,0,0
206,"6/20/99",1,230441,1,1,"Purchased before 1992",200,0,0,0,0,0
207,"6/20/99",1,230441,1,11,"Purchased since 1992",300,0,0,0,0,0
217,"6/20/99",1,230459,1,1,"Purchased before 1992",200,0,0,0,0,0
218,"6/20/99",1,230459,1,11,"Purchased since 1992",6000,0,0,0,0,0
192,"6/20/99",1,230511,1,11,"Purchased since 1992",11000,0,0,0,0,0
208,"6/20/99",1,230541,1,11,"Purchased since 1992",300,0,0,0,0,0
194,"6/20/99",1,230611,1,11,"Purchased since 1992",1500,0,0,0,0,0
193,"6/20/99",1,230611,1,1,"Purchased before 1992",500,0,0,0,0,0
195,"6/20/99",1,230612,1,11,"Purchased since 1992",500,0,800,0,0,0
196,"6/20/99",1,230711,1,11,"Purchased since 1992",3500,0,0,0,0,0
197,"6/20/99",1,230811,1,11,"Purchased since 1992",1200,0,1500,0,0,0
198,"6/20/99",1,231011,1,1,"Purchased before 1992",500,0,0,0,0,0
199,"6/20/99",1,231111,1,11,"Purchased since 1992",400,0,0,0,0,0
201,"6/20/99",1,231211,1,11,"Purchased since 1992",1000,0,0,0,0,0
200,"6/20/99",1,231211,1,1,"Purchased before 1992",500,0,0,0,0,0
203,"6/20/99",1,231212,1,11,"Purchased since 1992",12000,0,0,0,0,0
202,"6/20/99",1,231212,1,1,"Purchased before 1992",500,0,0,0,0,0
47,"9/08/99",1,240149,1,11,"Purchased since 1992",300,0,0,0,0,0
54,"9/08/99",1,240159,1,11,"Purchased since 1992",25000,0,0,0,0,0
49,"9/08/99",1,240249,1,11,"Purchased since 1992",2000,0,0,1500,0,0
48,"9/08/99",1,240249,1,1,"Purchased before 1992",500,0,0,0,0,0
55,"9/08/99",1,240259,1,1,"Purchased before 1992",5000,0,1000,0,0,0
56,"9/08/99",1,240259,1,11,"Purchased since 1992",15000,0,0,0,0,0
50,"9/08/99",1,240349,1,11,"Purchased since 1992",2000,0,0,0,0,0
57,"9/08/99",1,240359,1,11,"Purchased since 1992",130000,0,1400,0,0,0
51,"9/08/99",1,240449,1,11,"Purchased since 1992",6500,0,0,4000,0,0
58,"9/08/99",1,240459,1,11,"Purchased since 1992",6000,0,0,0,0,0
53,"9/08/99",1,240549,1,11,"Purchased since 1992",2500,0,0,0,0,0
52,"9/08/99",1,240549,1,1,"Purchased before 1992",500,0,0,0,0,0
59,"9/08/99",1,240559,1,1,"Purchased before 1992",1000,0,0,0,0,0
60,"9/08/99",1,240559,1,11,"Purchased since 1992",129000,0,0,0,0,0
274,"6/27/99",1,310111,3,11,"Purchased since 1992",0,0,0,0,0,110000
273,"6/22/99",1,310111,1,2,"Inherited",15000,0,0,0,0,0
288,"6/27/99",1,310141,1,11,"Purchased since 1992",80000,0,0,0,0,0
293,"6/27/99",1,310151,1,11,"Purchased since 1992",0,0,2000,0,0,0
292,"6/27/99",1,310151,1,1,"Purchased before 1992",25000,0,0,0,0,0
275,"6/27/99",1,310211,2,5,"Obtained from other sources",3000,0,0,0,0,0
289,"6/27/99",1,310241,1,2,"Inherited",50000,0,0,0,0,0
276,"6/27/99",1,310311,2,1,"Purchased before 1992",3000,0,0,0,0,0
296,"6/27/99",1,310351,1,11,"Purchased since 1992",100000,0,1500,0,0,0
290,"6/27/99",1,310441,2,11,"Purchased since 1992",80000,0,0,0,0,0
297,"6/27/99",1,310459,1,1,"Purchased before 1992",100000,0,0,0,0,0
278,"6/27/99",1,310511,5,2,"Inherited",25000,0,0,0,0,0
277,"6/27/99",1,310511,5,11,"Purchased since 1992",0,0,3000,3000,0,0
78,"9/12/99",1,310541,1,1,"Purchased before 1992",15000,0,0,0,0,0
279,"6/27/99",1,310611,1,1,"Purchased before 1992",100000,0,0,0,0,0
291,"6/27/99",1,310641,1,1,"Purchased before 1992",70000,0,0,0,0,0
280,"6/27/99",1,310711,1,2,"Inherited",2000,0,0,0,0,0
281,"6/27/99",1,310811,1,5,"Obtained from other sources",5000,5000,0,0,0,0
282,"6/27/99",1,310911,1,1,"Purchased before 1992",10000,0,0,0,0,0
283,"6/27/99",1,311011,1,11,"Purchased since 1992",2500,0,0,0,0,0
284,"6/27/99",1,311111,6,1,"Purchased before 1992",20000,0,0,0,0,0
285,"6/27/99",1,311211,1,11,"Purchased since 1992",30000,5000,0,10000,0,0
286,"6/27/99",1,311411,1,1,"Purchased before 1992",40000,0,0,0,0,0
287,"6/27/99",1,311411,1,11,"Purchased since 1992",35000,0,0,0,0,0
1,"7/07/99",1,320111,1,11,"Purchased since 1992",45000,0,0,0,0,0
21,"7/14/99",1,320141,1,1,"Purchased before 1992",50000,0,0,0,0,0
22,"7/14/99",1,320142,1,1,"Purchased before 1992",50000,0,0,0,0,0
36,"7/14/99",1,320151,1,11,"Purchased since 1992",100000,0,0,0,0,0
38,"7/14/99",1,320152,1,12,"Sale since 1992",0,0,0,10000,0,22000
37,"7/14/99",1,320152,1,11,"Purchased since 1992",80000,0,0,31000,0,87000
39,"7/14/99",1,320153,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
40,"7/14/99",1,320154,1,2,"Inherited",200000,0,0,0,0,0
2,"7/14/99",1,320211,2,11,"Purchased since 1992",2500,0,0,0,0,0
3,"7/14/99",1,320211,2,2,"Inherited",10000,0,0,0,0,0
24,"7/14/99",1,320241,1,12,"Sale since 1992",0,0,4000,0,0,0
23,"7/14/99",1,320241,1,11,"Purchased since 1992",100000,7500,4000,0,0,0
41,"7/14/99",1,320251,1,1,"Purchased before 1992",200000,0,0,0,0,0
4,"7/14/99",1,320311,1,11,"Purchased since 1992",100000,0,0,0,0,0
26,"7/14/99",1,320341,1,12,"Sale since 1992",0,0,0,0,0,150000
25,"7/14/99",1,320341,1,1,"Purchased before 1992",100000,0,0,0,0,97000
5,"7/14/99",1,320411,1,11,"Purchased since 1992",50000,0,0,0,0,0
29,"7/14/99",1,320442,1,1,"Purchased before 1992",7000,0,0,0,0,0
30,"7/14/99",1,320443,1,11,"Purchased since 1992",4000,0,0,0,0,0
42,"7/14/99",1,320459,1,1,"Purchased before 1992",150000,0,0,0,0,0
7,"7/14/99",1,320511,1,12,"Sale since 1992",10000,0,0,0,0,0
6,"7/14/99",1,320511,1,11,"Purchased since 1992",15000,0,0,0,0,0
32,"7/14/99",1,320541,1,11,"Purchased since 1992",40000,0,0,70000,0,0
33,"7/14/99",1,320541,1,12,"Sale since 1992",0,0,0,0,0,56000
31,"7/14/99",1,320541,1,1,"Purchased before 1992",200000,0,0,0,0,0
8,"7/14/99",1,320611,1,1,"Purchased before 1992",1500,0,0,6000,0,0
35,"7/14/99",1,320641,1,12,"Sale since 1992",0,0,25000,0,0,0
34,"7/14/99",1,320641,1,1,"Purchased before 1992",120000,0,0,0,0,0
10,"7/14/99",1,320711,6,11,"Purchased since 1992",12000,0,0,0,0,0
9,"7/14/99",1,320711,2,1,"Purchased before 1992",2500,0,0,0,0,0
12,"7/14/99",1,321011,1,11,"Purchased since 1992",10000,10000,0,0,0,0
11,"7/14/99",1,321011,1,1,"Purchased before 1992",5000,0,0,0,0,0
15,"7/14/99",1,321111,1,2,"Inherited",100000,0,0,0,0,0
13,"7/14/99",1,321111,1,1,"Purchased before 1992",0,0,3000,0,0,0
14,"7/14/99",1,321111,1,11,"Purchased since 1992",20000,0,0,0,0,0
16,"7/14/99",1,321211,1,11,"Purchased since 1992",150000,0,0,0,0,0
17,"7/14/99",1,321212,1,11,"Purchased since 1992",20000,0,0,0,0,0
18,"7/14/99",1,321311,1,11,"Purchased since 1992",120000,0,0,0,0,0
19,"7/14/99",1,321411,1,1,"Purchased before 1992",50000,0,0,0,0,0
20,"7/14/99",1,321412,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
2,"8/22/99",1,330111,1,11,"Purchased since 1992",0,0,0,3000,0,0
1,"8/14/99",1,330111,1,1,"Purchased before 1992",25000,0,0,0,0,0
25,"8/22/99",1,330151,2,1,"Purchased before 1992",30000,0,0,0,0,0
3,"8/22/99",1,330211,1,11,"Purchased since 1992",65000,0,0,0,0,0
20,"8/22/99",1,330241,1,11,"Purchased since 1992",7000,0,0,0,0,0
27,"8/22/99",1,330251,1,11,"Purchased since 1992",120000,0,0,0,0,0
26,"8/22/99",1,330251,1,1,"Purchased before 1992",200000,0,0,0,0,0
21,"8/22/99",1,330341,1,1,"Purchased before 1992",20000,0,0,0,0,0
4,"8/22/99",1,330411,1,11,"Purchased since 1992",130000,0,0,0,0,0
5,"8/22/99",1,330411,1,3,"Obtained as gift",0,0,3000,0,0,0
28,"8/22/99",1,330459,1,1,"Purchased before 1992",70000,0,0,0,0,0
6,"8/22/99",1,330511,1,11,"Purchased since 1992",15000,0,0,0,0,0
7,"8/22/99",1,330611,1,1,"Purchased before 1992",30000,0,0,0,0,0
24,"8/22/99",1,330641,3,1,"Purchased before 1992",120000,0,0,0,0,0
8,"8/22/99",1,330731,1,11,"Purchased since 1992",20000,0,0,0,0,0
9,"8/22/99",1,330811,1,11,"Purchased since 1992",1500,0,0,0,0,0
10,"8/22/99",1,330911,1,1,"Purchased before 1992",12000,0,0,0,0,0
13,"8/22/99",1,331111,1,12,"Sale since 1992",0,0,0,6000,0,0
12,"8/22/99",1,331111,1,11,"Purchased since 1992",0,0,0,6000,0,0
11,"8/22/99",1,331111,1,1,"Purchased before 1992",1500,0,0,0,0,0
14,"8/22/99",1,331211,2,11,"Purchased since 1992",8000,0,0,0,0,0
15,"8/22/99",1,331311,1,11,"Purchased since 1992",5000,0,0,0,0,0
16,"8/22/99",1,331411,1,11,"Purchased since 1992",4000,0,0,0,0,0
17,"8/22/99",1,331412,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
97,"6/26/99",1,410111,1,3,"Obtained as gift",1000,0,0,3000,0,0
96,"6/26/99",1,410111,1,1,"Purchased before 1992",1500,0,0,0,0,0
117,"6/28/99",1,410141,1,11,"Purchased since 1992",12000,0,1000,0,0,0
126,"6/28/99",1,410151,1,11,"Purchased since 1992",0,0,1500,0,0,0
127,"6/28/99",1,410151,1,2,"Inherited",20000,0,0,0,0,0
98,"6/26/99",1,410211,1,1,"Purchased before 1992",3000,0,0,0,0,0
118,"6/28/99",1,410241,2,11,"Purchased since 1992",5000,0,0,0,0,0
99,"6/26/99",1,410311,1,1,"Purchased before 1992",6000,0,0,0,0,0
120,"6/28/99",1,410342,1,11,"Purchased since 1992",5000,0,0,0,0,0
121,"6/28/99",1,410343,1,2,"Inherited",4000,0,0,0,0,0
122,"6/28/99",1,410344,1,2,"Inherited",2000,0,0,0,0,0
123,"6/28/99",1,410344,1,4,"Obtained as dowry",0,0,1000,0,0,0
129,"6/28/99",1,410351,1,1,"Purchased before 1992",10000,0,700,0,0,0
130,"6/28/99",1,410351,1,11,"Purchased since 1992",0,0,0,0,3000,0
100,"6/26/99",1,410411,1,1,"Purchased before 1992",8000,0,0,0,0,0
101,"6/26/99",1,410411,1,11,"Purchased since 1992",0,0,400,0,0,0
124,"6/28/99",1,410441,1,1,"Purchased before 1992",1500,0,0,0,0,0
131,"6/28/99",1,410459,1,1,"Purchased before 1992",5000,0,0,0,0,0
