"casenum","date","weight_","hhcode","pid","htrid","htrde","s12_2q21","s12_2q22","s12_2q31","s12_2q32","s12_2q41","s12_2q42","s12_2q51","s12_2q52","s12_2q61","s12_2q62","s12_2q71","s12_2q72"
78,"10/27/99",1,430341,1,1,"Purchased",15000,40000,1.79769313486232e+308,1.79769313486232e+308,1000,1000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
81,"10/27/99",1,430459,1,2,"Inherited",2000,2000,1.79769313486232e+308,3000,700,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
79,"10/27/99",1,430541,1,1,"Purchased",10000,12000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3000,3000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
77,"10/27/99",1,430812,1,1,"Purchased",4000,3000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1,"9/09/99",1,440119,1,1,"Purchased",0,25000,1.79769313486232e+308,5000,0,3000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
2,"9/09/99",1,440219,1,1,"Purchased",0,15000,1.79769313486232e+308,4000,0,3000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2200,1.79769313486232e+308,1.79769313486232e+308
3,"9/09/99",1,440319,1,1,"Purchased",0,8000,1.79769313486232e+308,1.79769313486232e+308,21000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
4,"9/09/99",1,440419,1,1,"Purchased",0,5000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
5,"9/09/99",1,440519,1,1,"Purchased",0,15000,1.79769313486232e+308,7000,1.79769313486232e+308,2800,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
6,"9/09/99",1,440619,1,1,"Purchased",0,8000,0,6000,0,2000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
7,"9/09/99",1,440719,1,1,"Purchased",0,10000,0,5000,0,2500,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,80000
