"casenum","date","weight_","hhcode","s9_1q1","s9_1q2","pid","program","s9_1q5","s9_1q6","s9_1q7","s9_1q8","s9_1q9","s9_1q10","s9_1q11","s9_1q12","s9_1q13","s9_1q14","s9_1q15","s9_1q16","s9_1q17","s9_1q18","s9_1q19","s9_1q20","s9_1q21","s9_1q22"
92,"6/06/99",1,111211,1,1,3,1,2,2,1.79769313486232e+308,1.79769313486232e+308,1,7,2,1,15,4,1.79769313486232e+308,0,0,1.79769313486232e+308,1.79769313486232e+308,12,1.79769313486232e+308,1.79769313486232e+308
93,"6/06/99",1,111211,1,1,7,1,2,2,1.79769313486232e+308,1.79769313486232e+308,7,1.79769313486232e+308,15,1.79769313486232e+308,20,3,6,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
48,"7/22/99",1,120111,1,1,1,1,2,2,1.79769313486232e+308,1.79769313486232e+308,13,1.79769313486232e+308,2,1,10,11,6,1,1,2,3,12,1.79769313486232e+308,1.79769313486232e+308
47,"7/22/99",1,120111,1,1,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,13,1.79769313486232e+308,4,1,10,11,6,1,1,2,3,12,1.79769313486232e+308,1.79769313486232e+308
46,"7/22/99",1,120111,1,1,2,3,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,20,1,11,1,4,2,1,12,5,40
70,"7/22/99",1,120141,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
75,"7/22/99",1,120151,1,1,1,1,1,2,1.79769313486232e+308,1.79769313486232e+308,4,7,1,2,2,3,1.79769313486232e+308,0,1,2,3,52,1.79769313486232e+308,1.79769313486232e+308
76,"7/22/99",1,120152,1,1,1,1,1,2,1.79769313486232e+308,1.79769313486232e+308,7,12,1,2,2,3,1.79769313486232e+308,0,0,1.79769313486232e+308,1.79769313486232e+308,52,1.79769313486232e+308,1.79769313486232e+308
77,"7/22/99",1,120152,1,1,4,1,1,2,1.79769313486232e+308,1.79769313486232e+308,15,12,1,2,2,1,1.79769313486232e+308,0,0,1.79769313486232e+308,1.79769313486232e+308,52,1.79769313486232e+308,1.79769313486232e+308
49,"7/22/99",1,120211,1,1,4,1,7,2,1.79769313486232e+308,1.79769313486232e+308,1,1.79769313486232e+308,1,2,15,10,1.79769313486232e+308,1,1,2,3,12,1.79769313486232e+308,1.79769313486232e+308
50,"7/22/99",1,120211,1,1,7,3,7,2,1.79769313486232e+308,1.79769313486232e+308,12,1.79769313486232e+308,1,2,10,0,1,1,1,2,3,12,1.79769313486232e+308,1.79769313486232e+308
51,"7/22/99",1,120212,1,1,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,12,7,2,5,15,3,1.79769313486232e+308,1,1,3,2,12,1.79769313486232e+308,1.79769313486232e+308
52,"7/22/99",1,120212,1,1,2,3,2,2,1.79769313486232e+308,1.79769313486232e+308,12,13,2,5,10,3,10,1,1,3,2,2,1.79769313486232e+308,1.79769313486232e+308
71,"7/22/99",1,120241,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
72,"7/22/99",1,120242,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,28,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
80,"7/22/99",1,120251,1,1,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,3,7,1,2,120,2,1.79769313486232e+308,1,1,2,3,2,1.79769313486232e+308,1.79769313486232e+308
78,"7/22/99",1,120251,1,1,2,3,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,7,5,5,1,1,2,3,2,5,40
79,"7/22/99",1,120251,1,1,4,8,4,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,1.79769313486232e+308,20,2,1.79769313486232e+308,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,21,1.79769313486232e+308
81,"7/22/99",1,120351,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,28,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
53,"7/22/99",1,120411,1,1,2,3,97,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,10,6,1.79769313486232e+308,1,1,2,3,2,5,40
73,"7/22/99",1,120441,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,12,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
83,"7/22/99",1,120459,1,1,3,1,1,2,1.79769313486232e+308,1.79769313486232e+308,7,15,1,2,15,8,6,1,1,2,3,12,1.79769313486232e+308,1.79769313486232e+308
82,"7/22/99",1,120459,1,1,3,3,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,10,5,1.79769313486232e+308,1,1,2,3,12,3,30
54,"7/22/99",1,120511,1,1,2,3,2,2,1.79769313486232e+308,1.79769313486232e+308,1,7,1,2,5,4,7,1,1,2,3,8,1.79769313486232e+308,1.79769313486232e+308
55,"7/22/99",1,120511,1,1,3,1,3,2,1.79769313486232e+308,1.79769313486232e+308,7,12,1,2,10,8,1.79769313486232e+308,1,1,3,5,12,1.79769313486232e+308,1.79769313486232e+308
56,"7/22/99",1,120511,1,1,5,1,5,2,1.79769313486232e+308,1.79769313486232e+308,7,12,1,2,10,8,1.79769313486232e+308,0,0,1.79769313486232e+308,1.79769313486232e+308,12,1.79769313486232e+308,1.79769313486232e+308
58,"7/22/99",1,120512,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,25,28,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
74,"7/22/99",1,120541,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
57,"7/22/99",1,120611,1,1,6,1,6,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,5,10,9,7,0,3,2,1,12,5,30
60,"7/22/99",1,120711,1,1,1,1,1,2,1.79769313486232e+308,1.79769313486232e+308,7,15,1,2,2,5,1.79769313486232e+308,0,0,1.79769313486232e+308,1.79769313486232e+308,26,1.79769313486232e+308,1.79769313486232e+308
59,"7/22/99",1,120711,1,1,2,1,1,2,1.79769313486232e+308,1.79769313486232e+308,7,15,1,2,2,3,1.79769313486232e+308,0,0,1.79769313486232e+308,1.79769313486232e+308,26,1.79769313486232e+308,1.79769313486232e+308
61,"7/22/99",1,120811,1,1,6,1,6,2,1.79769313486232e+308,1.79769313486232e+308,12,15,1,2,50,5,1.79769313486232e+308,0,1,2,1.79769313486232e+308,12,1.79769313486232e+308,1.79769313486232e+308
62,"7/22/99",1,120911,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,7,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"7/22/99",1,121011,1,1,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,12,15,1,2,10,5,1.79769313486232e+308,1,1,2,3,12,1.79769313486232e+308,1.79769313486232e+308
63,"7/22/99",1,121011,1,1,2,3,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,16,4,1.79769313486232e+308,1,1,2,3,2,5,40
65,"7/22/99",1,121111,1,1,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,7,14,1,2,10,3,1.79769313486232e+308,1,1,2,3,12,1.79769313486232e+308,1.79769313486232e+308
66,"7/22/99",1,121111,1,1,3,8,3,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,1.79769313486232e+308,20,2,7,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,21
67,"7/22/99",1,121111,1,1,5,8,5,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,1.79769313486232e+308,20,2,7,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,21
69,"7/22/99",1,121211,1,1,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,1,12,2,1,5,3,6,1,2,3,4,12,1.79769313486232e+308,1.79769313486232e+308
68,"7/22/99",1,121211,1,1,2,3,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,10,5,2,1,1,2,3,12,5,30
17,"7/29/99",1,130141,1,1,2,1,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,4,20,8,7,1,1,2,4,8,5,22
18,"7/29/99",1,130141,1,1,2,3,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,4,10,5,1.79769313486232e+308,0,1,2,5,3,5,25
23,"7/29/99",1,130151,1,1,2,3,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,40,9,1.79769313486232e+308,0,1,2,3,3,5,40
2,"7/29/99",1,130211,1,1,2,1,1,2,1.79769313486232e+308,1.79769313486232e+308,1,2,1,2,10,5,1.79769313486232e+308,1,0,1.79769313486232e+308,1.79769313486232e+308,18,1.79769313486232e+308,1.79769313486232e+308
1,"7/29/99",1,130211,1,1,2,3,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,10,1,3,0,1,2,3,12,5,30
19,"7/29/99",1,130241,1,1,2,3,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,10,9,8,0,1,2,3,12,5,20
24,"7/29/99",1,130251,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
3,"7/29/99",1,130311,1,1,2,1,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,5,10,11,6,1,1,1.79769313486232e+308,1.79769313486232e+308,12,5,40
25,"7/29/99",1,130351,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
26,"7/29/99",1,130352,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
27,"7/29/99",1,130353,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
28,"7/29/99",1,130354,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
29,"7/29/99",1,130355,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
4,"7/29/99",1,130411,1,1,2,1,97,2,1.79769313486232e+308,1.79769313486232e+308,1,15,5,1.79769313486232e+308,2,3,6,0,0,1.79769313486232e+308,1.79769313486232e+308,12,1.79769313486232e+308,1.79769313486232e+308
20,"7/29/99",1,130441,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,13,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
30,"7/29/99",1,130459,1,1,2,5,2,2,1.79769313486232e+308,1.79769313486232e+308,1,4,1,2,15,1,1.79769313486232e+308,0,0,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308
21,"7/29/99",1,130541,1,1,2,3,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,10,10,1.79769313486232e+308,1,1,2,3,2,5,40
22,"7/29/99",1,130542,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,12,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
5,"7/29/99",1,130611,1,1,2,1,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,2,10,8,7,0,1,2,3,12,5,40
7,"7/29/99",1,130711,1,1,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,1,1.79769313486232e+308,1,2,10,2,1.79769313486232e+308,0,2,1.79769313486232e+308,1.79769313486232e+308,12,1.79769313486232e+308,1.79769313486232e+308
