"casenum","date","weight_","hhcode","pid","respid","s13_1q3","s13_1q4","s13_1q5","s13_1q6","s13_1q7","s13_1q8","s13_1q9","s13_1q10","s13_1q11"
65,"7/23/99",1,120351,2,2,1,18,11000,0,12,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
66,"7/23/99",1,120351,7,2,1,24,30000,0,48,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
36,"7/23/99",1,120411,6,2,1,18,0,0,0.200000002980232,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
59,"7/23/99",1,120441,3,2,1,23,0,0,7,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
67,"7/23/99",1,120459,3,2,1,15,2000,0,1,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
68,"7/23/99",1,120459,5,2,1,18,12000,0,1,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
69,"7/23/99",1,120459,6,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
70,"7/23/99",1,120459,7,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
39,"7/23/99",1,120511,7,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
38,"7/23/99",1,120511,8,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
37,"7/23/99",1,120511,9,2,1,20,30000,0,2,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
43,"7/23/99",1,120512,2,2,1,18,15000,0,25,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
60,"7/23/99",1,120541,2,2,1,18,3000,0,2,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
40,"7/23/99",1,120611,2,1,1,18,26000,0,3,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,120611,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
41,"7/23/99",1,120611,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
42,"7/23/99",1,120611,7,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
44,"7/23/99",1,120711,2,2,1,21,1200,0,4,36,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
45,"7/23/99",1,120711,3,3,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
46,"7/23/99",1,120811,7,6,1,20,10000,0,2,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
48,"7/23/99",1,120911,2,6,1,22,35000,0,0.100000001490116,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
47,"7/23/99",1,120911,9,2,1,19,10000,0,3,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
