"casenum","date","weight_","thana","vill","day","month","year","b1_1_2","b1_1_3","b1_1_4","b1_1_5","b1_2_2","b1_2_3","b1_2_4","b1_2_5","b1_3_2","b1_3_3","b1_3_4","b1_3_5","b2_1_3","b2_1_4","b2_2_2","b2_2_4","b2_3_3","b2_3_4","b2_4_3","b2_4_4","b2_5_3","b2_5_4","b2_6_3","b2_6_4","b2_7_3","b2_7_4"
3,"11/28/99",1,20,2,2,9,99,35,20,45,20,70,40,100,50,50,30,45,30,1,1,2,2,2,1,1,1,2,2,2,1,2,2
4,"11/28/99",1,20,3,1,5,99,16,14,18,15,50,35,55,40,20,15,40,35,2,2,2,2,2,1,2,2,2,2,2,2,2,2
5,"11/28/99",1,21,1,4,4,99,35,15,40,20,50,35,60,40,35,25,40,30,2,2,2,2,2,1,1,1,2,2,2,2,2,2
6,"11/28/99",1,21,2,24,5,99,40,20,35,25,60,40,80,50,30,20,45,25,1,1,2,2,1,1,1,1,2,2,2,2,2,2
7,"11/28/99",1,21,3,16,8,99,30,15,20,15,60,35,70,35,40,30,35,30,1,1,2,2,1,1,2,2,1,1,1,1,2,2
8,"11/28/99",1,22,1,7,4,99,60,40,75,45,110,70,125,80,80,55,80,70,1,1,2,2,1,1,1,1,2,2,1,1,1,1
9,"11/28/99",1,22,2,8,4,99,60,40,75,45,100,70,125,80,80,55,100,70,1,1,2,2,1,1,1,1,2,2,1,1,1,1
10,"11/28/99",1,22,3,6,4,99,60,40,75,45,100,70,125,80,80,55,100,70,1,1,2,2,1,1,1,1,2,2,1,1,1,1
11,"11/28/99",1,23,1,2,4,99,40,30,40,30,80,70,100,60,70,60,80,40,2,1,2,2,1,2,2,2,2,2,2,2,1,1
12,"11/28/99",1,23,2,23,6,99,40,20,50,20,80,40,100,40,1.79769313486232e+308,1.79769313486232e+308,70,30,1,2,2,2,2,2,1,1,2,2,2,2,2,2
13,"11/28/99",1,23,3,7,7,99,40,30,40,25,80,60,100,60,60,40,60,40,2,2,2,2,2,2,1,1,2,2,2,2,2,2
14,"11/28/99",1,24,1,20,2,99,50,30,60,35,85,65,70,60,60,50,65,50,2,1,2,2,2,2,2,2,2,2,2,2,2,2
15,"11/28/99",1,24,2,5,4,99,50,30,60,30,85,60,85,60,1.79769313486232e+308,65,1.79769313486232e+308,50,2,1,2,2,2,2,2,2,2,2,2,2,2,2
16,"11/28/99",1,24,3,10,7,99,40,30,45,35,85,65,85,60,60,45,60,40,1,1,2,2,2,2,2,2,2,2,2,2,2,2
17,"11/28/99",1,25,1,9,7,99,60,40,80,50,80,50,125,80,1.79769313486232e+308,1.79769313486232e+308,75,50,2,2,2,2,2,2,1,2,2,2,2,2,2,2
18,"11/28/99",1,25,2,23,5,99,60,40,100,50,80,50,120,60,1.79769313486232e+308,1.79769313486232e+308,50,40,1,1,2,2,2,2,2,2,2,2,2,2,2,2
19,"11/28/99",1,25,3,24,3,99,55,40,45,35,80,50,90,60,50,45,60,30,1,1,2,2,2,2,2,2,2,2,2,2,2,2
20,"11/28/99",1,25,4,15,8,99,40,20,60,40,70,40,100,40,1.79769313486232e+308,1.79769313486232e+308,40,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"11/20/99",1,26,1,10,5,99,40,35,45,40,60,55,70,65,1.79769313486232e+308,1.79769313486232e+308,45,40,2,1,2,2,2,2,2,2,2,1,1,1,2,2
2,"11/20/99",1,26,2,19,2,99,25,20,40,35,75,65,85,75,45,40,35,30,1,1,2,2,1,1,1,1,2,2,1,1,2,1
3,"11/20/99",1,26,3,1,4,99,35,28,25,23,60,45,65,50,1.79769313486232e+308,1.79769313486232e+308,35,35,2,1,2,2,2,1,1,1,2,2,2,2,2,2
4,"11/28/95",1,27,1,4,3,99,40,25,45,25,100,60,100,60,50,40,50,40,2,2,2,2,1,2,2,1,2,2,1,1,2,2
5,"11/28/95",1,27,2,2,4,99,45,30,45,30,100,60,100,60,1.79769313486232e+308,1.79769313486232e+308,60,40,2,1,2,2,2,2,2,2,2,2,1,1,2,2
6,"11/28/95",1,27,3,8,5,99,35,25,40,25,80,50,100,50,1.79769313486232e+308,1.79769313486232e+308,50,30,2,1,2,2,2,2,2,2,2,2,1,1,2,2
7,"11/28/95",1,28,1,10,3,99,40,30,80,40,100,50,200,70,1.79769313486232e+308,1.79769313486232e+308,30,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,"11/28/95",1,28,2,17,5,99,40,20,50,25,80,40,120,60,1.79769313486232e+308,1.79769313486232e+308,40,30,2,1,2,2,2,2,2,2,2,2,2,2,2,2
9,"11/28/95",1,28,3,19,4,99,60,40,80,20,80,50,120,80,1.79769313486232e+308,1.79769313486232e+308,50,15,2,2,2,2,1,1,2,2,2,2,2,1,2,2
10,"11/28/95",1,28,4,1,7,99,40,30,60,50,60,40,100,90,1.79769313486232e+308,1.79769313486232e+308,35,25,2,2,2,2,2,2,2,1,2,2,2,2,2,2
11,"11/28/95",1,29,1,12,5,99,40,30,45,35,55,40,70,50,40,30,1.79769313486232e+308,1.79769313486232e+308,2,1,2,2,2,2,2,2,2,1,2,2,2,2
12,"11/28/95",1,29,2,22,3,99,45,30,45,35,60,45,65,50,35,25,40,30,2,1,2,2,2,2,2,2,2,2,2,2,2,2
