"casenum","date","weight_","hhcode","crisisid","crisisde","loss","hcf1","hcf2","exp"
50,"6/06/99",1,110111,1,"Death of primary income eraner",1.79769313486232e+308,4,2,8500
51,"6/06/99",1,110111,2,"Crop damage",1500,1,1.79769313486232e+308,1.79769313486232e+308
52,"6/06/99",1,110112,8,"Huge expenditure due to illness",7000,2,7,5000
53,"6/06/99",1,110112,9,"Loss of money",1700,1,1.79769313486232e+308,0
76,"6/06/99",1,110141,2,"Crop damage",7000,2,1.79769313486232e+308,1500
77,"6/06/99",1,110141,5,"Death of cow/buffalo",7000,7,1.79769313486232e+308,3500
78,"6/06/99",1,110141,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,1500
84,"6/06/99",1,110151,2,"Crop damage",2000,2,1.79769313486232e+308,1200
85,"6/06/99",1,110151,6,"Damage to house/land due to erosion",25000,1,1.79769313486232e+308,1.79769313486232e+308
54,"6/06/99",1,110211,24,"Expenditure for daughter's marriage",1.79769313486232e+308,2,1.79769313486232e+308,18500
79,"6/06/99",1,110241,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,3000
86,"6/06/99",1,110251,2,"Crop damage",30000,2,1.79769313486232e+308,7000
87,"6/06/99",1,110251,3,"Burglery/Theft",16000,1,1.79769313486232e+308,1.79769313486232e+308
88,"6/06/99",1,110251,5,"Death of cow/buffalo",5000,2,1.79769313486232e+308,250
55,"6/06/99",1,110311,1,"Death of primary income eraner",1.79769313486232e+308,1,1.79769313486232e+308,2000
80,"6/06/99",1,110341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
89,"6/06/99",1,110351,2,"Crop damage",10000,2,1.79769313486232e+308,500
90,"6/06/99",1,110352,2,"Crop damage",8000,2,1.79769313486232e+308,2000
91,"6/06/99",1,110352,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,600
56,"6/06/99",1,110411,2,"Crop damage",5000,2,4,5000
57,"6/06/99",1,110411,8,"Huge expenditure due to illness",52000,2,3,52000
81,"6/06/99",1,110441,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,600
92,"6/06/99",1,110459,2,"Crop damage",10000,2,1.79769313486232e+308,3000
93,"6/06/99",1,110459,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,2000
58,"6/06/99",1,110511,2,"Crop damage",25000,1.79769313486232e+308,1.79769313486232e+308,7000
59,"6/06/99",1,110511,8,"Huge expenditure due to illness",1500,2,1.79769313486232e+308,1000
82,"6/06/99",1,110541,2,"Crop damage",5000,2,1.79769313486232e+308,1500
83,"6/06/99",1,110542,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
60,"6/06/99",1,110611,2,"Crop damage",15000,2,5,6000
61,"6/06/99",1,110612,2,"Crop damage",1500,2,1.79769313486232e+308,350
62,"6/06/99",1,110612,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,9000
63,"6/06/99",1,110711,3,"Burglery/Theft",1000,2,1.79769313486232e+308,800
64,"6/06/99",1,110711,9,"Loss of money",640,2,1.79769313486232e+308,200
65,"6/06/99",1,110711,13,"Unnatural death of family member",1.79769313486232e+308,2,1.79769313486232e+308,700
66,"6/06/99",1,110811,1,"Death of primary income eraner",1.79769313486232e+308,1,1.79769313486232e+308,6000
67,"6/06/99",1,110811,2,"Crop damage",4500,2,1.79769313486232e+308,1500
68,"6/06/99",1,110811,30,"Others",2000,1,1.79769313486232e+308,1.79769313486232e+308
69,"6/06/99",1,110911,8,"Huge expenditure due to illness",2500,2,5,2000
70,"6/06/99",1,111011,2,"Crop damage",7000,2,5,2000
71,"6/06/99",1,111111,2,"Crop damage",2000,2,1.79769313486232e+308,700
72,"6/06/99",1,111211,1,"Death of primary income eraner",1.79769313486232e+308,1,1.79769313486232e+308,1.79769313486232e+308
73,"6/06/99",1,111211,2,"Crop damage",8000,2,1.79769313486232e+308,5000
74,"6/06/99",1,111211,5,"Death of cow/buffalo",15000,2,1.79769313486232e+308,200
75,"6/06/99",1,111211,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,5000
28,"7/22/99",1,120111,7,"Damage to house/land due to cyclone",2500,23,1.79769313486232e+308,2500
29,"7/22/99",1,120111,24,"Expenditure for daughter's marriage",3000,5,1.79769313486232e+308,3000
49,"7/22/99",1,120141,2,"Crop damage",2000,2,1.79769313486232e+308,500
56,"7/22/99",1,120151,2,"Crop damage",2000,2,1.79769313486232e+308,500
57,"7/22/99",1,120151,3,"Burglery/Theft",1000,1,1.79769313486232e+308,1.79769313486232e+308
58,"7/22/99",1,120152,2,"Crop damage",2000,2,1.79769313486232e+308,500
59,"7/22/99",1,120152,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,8000
30,"7/22/99",1,120211,3,"Burglery/Theft",55000,7,1.79769313486232e+308,1.79769313486232e+308
31,"7/22/99",1,120211,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,3000
32,"7/22/99",1,120212,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
50,"7/22/99",1,120241,2,"Crop damage",7000,2,1.79769313486232e+308,1200
51,"7/22/99",1,120241,6,"Damage to house/land due to erosion",4000,1,1.79769313486232e+308,1.79769313486232e+308
52,"7/22/99",1,120242,2,"Crop damage",5000,2,1.79769313486232e+308,1000
53,"7/22/99",1,120242,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,500
60,"7/22/99",1,120251,2,"Crop damage",6000,2,1.79769313486232e+308,1500
61,"7/22/99",1,120351,6,"Damage to house/land due to erosion",15000,2,1.79769313486232e+308,10000
33,"7/22/99",1,120411,2,"Crop damage",12000,1,1.79769313486232e+308,1.79769313486232e+308
34,"7/22/99",1,120411,5,"Death of cow/buffalo",100,1,1.79769313486232e+308,1.79769313486232e+308
54,"7/22/99",1,120441,2,"Crop damage",1200,1,1.79769313486232e+308,1.79769313486232e+308
62,"7/22/99",1,120459,2,"Crop damage",20000,3,1.79769313486232e+308,1.79769313486232e+308
63,"7/22/99",1,120459,3,"Burglery/Theft",12000,1,1.79769313486232e+308,1.79769313486232e+308
35,"7/22/99",1,120511,8,"Huge expenditure due to illness",1200,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
38,"7/22/99",1,120512,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
55,"7/22/99",1,120541,2,"Crop damage",20000,2,1.79769313486232e+308,2500
36,"7/22/99",1,120611,2,"Crop damage",5000,1,1.79769313486232e+308,1.79769313486232e+308
37,"7/22/99",1,120611,6,"Damage to house/land due to erosion",150000,1,1.79769313486232e+308,1.79769313486232e+308
39,"7/22/99",1,120711,2,"Crop damage",15000,1,1.79769313486232e+308,6000
40,"7/22/99",1,120711,8,"Huge expenditure due to illness",1.79769313486232e+308,1,1.79769313486232e+308,7000
41,"7/22/99",1,120811,2,"Crop damage",7000,1,1.79769313486232e+308,1.79769313486232e+308
42,"7/22/99",1,120811,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,1400
43,"7/22/99",1,120911,3,"Burglery/Theft",6000,1,1.79769313486232e+308,1.79769313486232e+308
44,"7/22/99",1,121011,2,"Crop damage",20000,2,1.79769313486232e+308,1500
45,"7/22/99",1,121011,7,"Damage to house/land due to cyclone",3000,5,1.79769313486232e+308,250
46,"7/22/99",1,121111,2,"Crop damage",2000,1,1.79769313486232e+308,300
47,"7/22/99",1,121111,8,"Huge expenditure due to illness",1.79769313486232e+308,1,1.79769313486232e+308,1400
48,"7/22/99",1,121211,8,"Huge expenditure due to illness",450,7,1.79769313486232e+308,850
20,"8/03/99",1,130141,5,"Death of cow/buffalo",10000,1,1.79769313486232e+308,1.79769313486232e+308
21,"8/03/99",1,130141,8,"Huge expenditure due to illness",1.79769313486232e+308,7,1.79769313486232e+308,3000
28,"8/03/99",1,130151,2,"Crop damage",4000,2,1.79769313486232e+308,500
29,"8/03/99",1,130151,5,"Death of cow/buffalo",10000,1,1.79769313486232e+308,1.79769313486232e+308
30,"8/03/99",1,130151,8,"Huge expenditure due to illness",1.79769313486232e+308,1.79769313486232e+308,2,2700
1,"8/03/99",1,130211,2,"Crop damage",3000,2,1.79769313486232e+308,700
2,"8/03/99",1,130211,7,"Damage to house/land due to cyclone",5000,23,1.79769313486232e+308,3000
22,"8/03/99",1,130241,2,"Crop damage",15000,2,1.79769313486232e+308,300
23,"8/03/99",1,130241,5,"Death of cow/buffalo",3000,1,1.79769313486232e+308,1.79769313486232e+308
31,"8/03/99",1,130251,2,"Crop damage",5000,2,1.79769313486232e+308,1500
3,"8/03/99",1,130311,2,"Crop damage",5000,2,1.79769313486232e+308,1000
4,"8/03/99",1,130311,4,"Theft of cow/buffalo",7000,1,1.79769313486232e+308,1.79769313486232e+308
32,"8/03/99",1,130351,2,"Crop damage",5000,2,1.79769313486232e+308,700
33,"8/03/99",1,130351,5,"Death of cow/buffalo",1200,1,1.79769313486232e+308,1.79769313486232e+308
34,"8/03/99",1,130351,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,1500
35,"8/03/99",1,130352,2,"Crop damage",6500,2,1.79769313486232e+308,750
36,"8/03/99",1,130352,5,"Death of cow/buffalo",13000,1,1.79769313486232e+308,1.79769313486232e+308
37,"8/03/99",1,130352,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,2000
38,"8/03/99",1,130353,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
39,"8/03/99",1,130354,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
40,"8/03/99",1,130355,2,"Crop damage",6500,2,1.79769313486232e+308,850
41,"8/03/99",1,130355,5,"Death of cow/buffalo",2000,1,1.79769313486232e+308,1.79769313486232e+308
5,"8/03/99",1,130411,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
24,"8/03/99",1,130441,2,"Crop damage",10000,2,1.79769313486232e+308,1000
25,"8/03/99",1,130441,8,"Huge expenditure due to illness",1.79769313486232e+308,2,4,17500
42,"8/03/99",1,130459,2,"Crop damage",4500,2,1.79769313486232e+308,250
43,"8/03/99",1,130459,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,8000
44,"8/03/99",1,130459,9,"Loss of money",32000,1,1.79769313486232e+308,1.79769313486232e+308
26,"8/03/99",1,130541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
27,"8/03/99",1,130542,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
6,"8/03/99",1,130611,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
7,"8/03/99",1,130711,2,"Crop damage",4000,2,1.79769313486232e+308,500
8,"8/03/99",1,130711,5,"Death of cow/buffalo",6000,1,1.79769313486232e+308,1.79769313486232e+308
9,"8/03/99",1,130712,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
10,"8/03/99",1,130811,2,"Crop damage",15000,2,1.79769313486232e+308,3500
11,"8/03/99",1,130811,5,"Death of cow/buffalo",30000,1,1.79769313486232e+308,1.79769313486232e+308
12,"8/03/99",1,130911,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,500
13,"8/03/99",1,130911,10,"Evacuation from land",10000,1,1.79769313486232e+308,1.79769313486232e+308
14,"8/03/99",1,131011,2,"Crop damage",3000,2,1.79769313486232e+308,500
15,"8/03/99",1,131011,5,"Death of cow/buffalo",500,1,1.79769313486232e+308,1.79769313486232e+308
16,"8/03/99",1,131011,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,500
17,"8/03/99",1,131111,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
18,"8/03/99",1,131211,2,"Crop damage",5000,2,2,1000
19,"8/03/99",1,131211,8,"Huge expenditure due to illness",1.79769313486232e+308,1.79769313486232e+308,2,3200
45,"6/18/99",1,210131,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
58,"6/18/99",1,210141,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
63,"6/18/99",1,210151,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
46,"6/18/99",1,210231,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
59,"6/18/99",1,210241,24,"Expenditure for daughter's marriage",1.79769313486232e+308,3,1.79769313486232e+308,10000
64,"6/18/99",1,210251,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
47,"6/18/99",1,210331,8,"Huge expenditure due to illness",6750,3,17,70000
48,"6/18/99",1,210332,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
60,"6/18/99",1,210341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
65,"6/18/99",1,210351,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
49,"6/18/99",1,210411,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
61,"6/18/99",1,210441,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
66,"6/18/99",1,210459,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
50,"6/18/99",1,210511,8,"Huge expenditure due to illness",1.79769313486232e+308,20,22,20000
62,"6/18/99",1,210541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
51,"6/18/99",1,210611,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
52,"6/18/99",1,210731,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
53,"6/18/99",1,210811,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
54,"6/18/99",1,210931,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
55,"6/18/99",1,211031,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
56,"6/18/99",1,211131,27,"Burning of house by fire",600,2,1.79769313486232e+308,1500
57,"6/18/99",1,211231,8,"Huge expenditure due to illness",1800,7,2,17000
28,"8/01/99",1,220111,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
42,"8/04/99",1,220141,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
47,"8/04/99",1,220151,12,"Land related litigation",1.79769313486232e+308,12,1.79769313486232e+308,10000
29,"8/04/99",1,220211,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
43,"8/04/99",1,220241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
48,"8/04/99",1,220251,12,"Land related litigation",1.79769313486232e+308,12,1.79769313486232e+308,10000
30,"8/04/99",1,220311,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
44,"8/04/99",1,220341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
49,"8/04/99",1,220351,8,"Huge expenditure due to illness",25000,12,2,25000
31,"8/04/99",1,220411,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
32,"8/04/99",1,220412,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
45,"8/04/99",1,220441,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
50,"8/04/99",1,220459,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
33,"8/04/99",1,220511,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
46,"8/04/99",1,220541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
34,"8/04/99",1,220611,2,"Crop damage",1500,1,1.79769313486232e+308,1.79769313486232e+308
35,"8/04/99",1,220611,8,"Huge expenditure due to illness",30000,3,1.79769313486232e+308,30000
36,"8/04/99",1,220711,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
37,"8/04/99",1,220911,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
38,"8/04/99",1,221011,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
39,"8/04/99",1,221111,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
40,"8/04/99",1,221112,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
41,"8/04/99",1,221211,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
181,"6/19/99",1,230111,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
194,"6/19/99",1,230141,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
198,"6/19/99",1,230151,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
199,"6/19/99",1,230152,8,"Huge expenditure due to illness",1.79769313486232e+308,15,20,10000
182,"6/19/99",1,230211,8,"Huge expenditure due to illness",1.79769313486232e+308,5,1.79769313486232e+308,4000
195,"6/19/99",1,230241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
200,"6/19/99",1,230251,8,"Huge expenditure due to illness",1.79769313486232e+308,2,15,20000
183,"6/19/99",1,230311,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
201,"6/19/99",1,230351,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
202,"6/19/99",1,230352,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
184,"6/19/99",1,230411,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
196,"6/19/99",1,230441,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
203,"6/19/99",1,230459,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
185,"6/19/99",1,230511,9,"Loss of money",40000,1,1.79769313486232e+308,1.79769313486232e+308
197,"6/19/99",1,230541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
186,"6/19/99",1,230611,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
187,"6/19/99",1,230612,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
188,"6/19/99",1,230711,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
189,"6/19/99",1,230811,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
190,"6/19/99",1,231011,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
191,"6/19/99",1,231111,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
192,"6/19/99",1,231211,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
193,"6/19/99",1,231212,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
103,"9/06/99",1,240119,21,"Torture for dowry",1.79769313486232e+308,5,3,20000
114,"9/08/99",1,240149,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
119,"9/08/99",1,240159,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
104,"9/08/99",1,240219,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
115,"9/08/99",1,240249,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
120,"9/08/99",1,240259,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
105,"9/08/99",1,240319,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
116,"9/08/99",1,240349,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
121,"9/08/99",1,240359,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
106,"9/08/99",1,240419,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
117,"9/08/99",1,240449,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
122,"9/08/99",1,240459,21,"Torture for dowry",1.79769313486232e+308,3,12,60000
107,"9/08/99",1,240519,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
118,"9/08/99",1,240549,21,"Torture for dowry",1.79769313486232e+308,2,5,14000
123,"9/08/99",1,240559,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
108,"9/08/99",1,240619,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
109,"9/08/99",1,240719,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
110,"9/08/99",1,240819,8,"Huge expenditure due to illness",1.79769313486232e+308,5,1.79769313486232e+308,6000
111,"9/08/99",1,240819,21,"Torture for dowry",1.79769313486232e+308,3,1.79769313486232e+308,16000
112,"9/08/99",1,240919,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
113,"9/08/99",1,241019,13,"Unnatural death of family member",1.79769313486232e+308,2,5,5000
261,"6/22/99",1,310111,7,"Damage to house/land due to cyclone",2000,2,1.79769313486232e+308,2000
274,"6/27/99",1,310141,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
278,"6/27/99",1,310151,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
262,"6/27/99",1,310211,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
275,"6/27/99",1,310241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
279,"6/27/99",1,310251,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
263,"6/27/99",1,310311,8,"Huge expenditure due to illness",25000,5,1.79769313486232e+308,25000
280,"6/27/99",1,310351,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
276,"6/27/99",1,310441,10,"Evacuation from land",5280000,1.79769313486232e+308,2,10000
281,"6/27/99",1,310459,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
264,"6/27/99",1,310511,24,"Expenditure for daughter's marriage",35000,2,22,35000
72,"9/11/99",1,310541,8,"Huge expenditure due to illness",2000,15,1.79769313486232e+308,2000
265,"6/27/99",1,310611,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
277,"6/27/99",1,310641,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
266,"6/27/99",1,310711,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
267,"6/27/99",1,310811,7,"Damage to house/land due to cyclone",600,1,1.79769313486232e+308,1.79769313486232e+308
268,"6/27/99",1,310811,24,"Expenditure for daughter's marriage",15000,15,1.79769313486232e+308,15000
269,"6/27/99",1,310911,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
270,"6/27/99",1,311011,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
271,"6/27/99",1,311111,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
272,"6/27/99",1,311211,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
273,"6/27/99",1,311411,8,"Huge expenditure due to illness",17500,7,1.79769313486232e+308,17500
1,"7/07/99",1,320111,10,"Evacuation from land",20000,7,2,20000
17,"7/13/99",1,320141,8,"Huge expenditure due to illness",5000,22,2,1.79769313486232e+308
18,"7/13/99",1,320141,30,"Others",10000,1,1.79769313486232e+308,1.79769313486232e+308
19,"7/13/99",1,320142,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
28,"7/13/99",1,320151,30,"Others",90000,7,1.79769313486232e+308,1.79769313486232e+308
29,"7/13/99",1,320152,7,"Damage to house/land due to cyclone",5000,7,1.79769313486232e+308,5000
30,"7/13/99",1,320153,30,"Others",100000,2,22,100000
31,"7/13/99",1,320154,8,"Huge expenditure due to illness",8000,7,2,8000
32,"7/13/99",1,320154,30,"Others",150000,3,22,150000
2,"7/13/99",1,320211,9,"Loss of money",35000,1,1.79769313486232e+308,1.79769313486232e+308
