"casenum","date","weight_","hhcode","crisisid","crisisde","loss","hcf1","hcf2","exp"
15,"6/04/99",1,2411639,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
16,"6/04/99",1,2411739,8,"Huge expenditure due to illness",1.79769313486232e+308,23,1.79769313486232e+308,5000
17,"6/04/99",1,2411839,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
18,"6/04/99",1,2411939,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
19,"6/04/99",1,2412039,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
20,"6/04/99",1,2412139,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
50,"8/06/99",1,2420131,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
71,"8/06/99",1,2420141,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
75,"8/06/99",1,2420151,2,"Crop damage",5000,1,1.79769313486232e+308,1.79769313486232e+308
51,"8/06/99",1,2420231,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
72,"8/06/99",1,2420241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
76,"8/06/99",1,2420251,2,"Crop damage",10000,1,1.79769313486232e+308,1.79769313486232e+308
52,"8/06/99",1,2420331,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
77,"8/06/99",1,2420351,2,"Crop damage",8000,1,1,1.79769313486232e+308
53,"8/06/99",1,2420431,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
73,"8/06/99",1,2420441,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
78,"8/06/99",1,2420459,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
